Date,Open,High,Low,Close,Volume,Market Cap
30-Dec-17,"14,681.90","14,681.90","12,350.10","12,952.20","14,452,599,808","217,239,803,085"
29-Dec-17,"14,695.80","15,279.00","14,307.00","14,656.20","13,025,500,160","245,793,634,125"
28-Dec-17,"15,864.10","15,888.40","13,937.30","14,606.50","12,336,499,712","244,929,825,575"
27-Dec-17,"16,163.50","16,930.90","15,114.30","15,838.50","12,487,600,128","265,559,172,050"
26-Dec-17,"14,036.60","16,461.20","14,028.90","16,099.80","13,454,300,160","269,908,107,763"
25-Dec-17,"13,995.90","14,593.00","13,448.90","14,026.60","10,664,699,904","235,126,843,805"
24-Dec-17,"14,608.20","14,626.00","12,747.70","13,925.80","11,572,299,776","233,414,163,395"
23-Dec-17,"13,948.70","15,603.20","13,828.80","14,699.20","13,086,000,128","246,349,213,910"
22-Dec-17,"15,898.00","15,943.40","11,833.00","13,831.80","22,197,999,616","231,788,283,457"
21-Dec-17,"16,642.40","17,567.70","15,342.70","15,802.90","16,516,599,808","264,788,651,530"
20-Dec-17,"17,760.30","17,934.70","16,077.70","16,624.60","22,149,699,584","278,528,964,015"
19-Dec-17,"19,118.30","19,177.80","17,275.40","17,776.70","16,894,499,840","297,801,055,828"
18-Dec-17,"19,106.40","19,371.00","18,355.90","19,114.20","14,839,499,776","320,174,318,520"
17-Dec-17,"19,475.80","20,089.00","18,974.10","19,140.80","13,314,599,936","320,576,568,850"
16-Dec-17,"17,760.30","19,716.70","17,515.30","19,497.40","12,740,599,808","326,502,485,530"
15-Dec-17,"16,601.30","18,154.10","16,601.30","17,706.90","14,309,999,616","296,482,120,238"
14-Dec-17,"16,384.60","17,085.80","16,185.90","16,564.00","13,777,399,808","277,310,347,000"
13-Dec-17,"17,500.00","17,653.10","16,039.70","16,408.20","12,976,900,096","274,663,619,978"
12-Dec-17,"16,919.80","17,781.80","16,571.60","17,415.40","14,603,799,552","291,483,935,710"
11-Dec-17,"15,427.40","17,513.90","15,404.80","16,936.80","12,153,900,032","283,439,888,520"
10-Dec-17,"15,168.40","15,850.60","13,226.60","15,455.40","13,433,299,968","258,615,393,665"
9-Dec-17,"16,523.30","16,783.00","13,674.90","15,178.20","13,911,300,096","253,946,084,745"
8-Dec-17,"17,802.90","18,353.40","14,336.90","16,569.40","21,135,998,976","277,185,764,485"
7-Dec-17,"14,266.10","17,899.70","14,057.30","17,899.70","17,950,699,520","299,405,364,249"
6-Dec-17,"11,923.40","14,369.10","11,923.40","14,291.50","12,656,300,032","239,024,437,136"
5-Dec-17,"11,685.70","12,032.00","11,604.60","11,916.70","6,895,260,160","199,278,350,420"
4-Dec-17,"11,315.40","11,657.20","11,081.80","11,657.20","6,132,409,856","194,912,755,450"
3-Dec-17,"11,082.70","11,858.70","10,862.00","11,323.20","6,608,309,760","189,302,389,920"
2-Dec-17,"10,978.30","11,320.20","10,905.10","11,074.60","5,138,500,096","185,122,039,035"
1-Dec-17,"10,198.60","11,046.70","9,694.65","10,975.60","6,783,119,872","183,444,663,767"
30-Nov-17,"9,906.79","10,801.00","9,202.05","10,233.60","8,310,689,792","171,020,085,600"
29-Nov-17,"10,077.40","11,517.40","9,601.03","9,888.61","11,568,799,744","165,233,728,795"
28-Nov-17,"9,823.43","10,125.70","9,736.30","10,058.80","6,348,819,968","168,056,012,886"
27-Nov-17,"9,352.72","9,818.35","9,352.72","9,818.35","5,653,320,192","164,019,464,090"
26-Nov-17,"8,789.04","9,522.93","8,775.59","9,330.55","5,475,579,904","155,850,742,551"
25-Nov-17,"8,241.71","8,790.92","8,191.15","8,790.92","4,342,060,032","146,820,557,006"
24-Nov-17,"8,074.02","8,374.16","7,940.93","8,253.69","5,058,610,176","137,831,976,173"
23-Nov-17,"8,232.38","8,267.40","8,038.77","8,038.77","4,225,179,904","134,227,860,479"
22-Nov-17,"8,077.95","8,302.26","8,075.47","8,253.55","3,633,530,112","137,797,862,084"
21-Nov-17,"8,205.74","8,348.66","7,762.71","8,071.26","4,277,609,984","134,739,693,480"
20-Nov-17,"8,039.07","8,336.86","7,949.36","8,200.64","3,488,450,048","136,881,802,624"
19-Nov-17,"7,766.03","8,101.91","7,694.10","8,036.49","3,149,319,936","134,124,196,206"
18-Nov-17,"7,697.21","7,884.99","7,463.44","7,790.15","3,667,190,016","129,997,247,838"
17-Nov-17,"7,853.57","8,004.59","7,561.09","7,708.99","4,651,670,016","128,621,507,062"
16-Nov-17,"7,323.24","7,967.38","7,176.58","7,871.69","5,123,809,792","131,328,418,537"
15-Nov-17,"6,634.76","7,342.25","6,634.76","7,315.54","4,200,880,128","122,035,826,506"
14-Nov-17,"6,561.48","6,764.98","6,461.75","6,635.75","3,197,110,016","110,683,148,744"
13-Nov-17,"5,938.25","6,811.19","5,844.29","6,559.49","6,263,249,920","109,400,650,105"
12-Nov-17,"6,295.45","6,625.05","5,519.01","5,950.07","8,957,349,888","99,226,193,603"
11-Nov-17,"6,618.61","6,873.15","6,204.22","6,357.60","4,908,680,192","106,016,076,151"
10-Nov-17,"7,173.73","7,312.00","6,436.87","6,618.14","5,208,249,856","110,354,089,394"
9-Nov-17,"7,446.83","7,446.83","7,101.52","7,143.58","3,226,249,984","119,104,730,750"
8-Nov-17,"7,141.38","7,776.42","7,114.02","7,459.69","4,602,200,064","124,360,767,999"
7-Nov-17,"7,023.10","7,253.32","7,023.10","7,144.38","2,326,340,096","119,091,456,315"
6-Nov-17,"7,403.22","7,445.77","7,007.31","7,022.76","3,111,899,904","117,050,623,317"
5-Nov-17,"7,404.52","7,617.48","7,333.19","7,407.41","2,380,410,112","123,449,206,170"
4-Nov-17,"7,164.48","7,492.86","7,031.28","7,379.95","2,483,800,064","122,978,748,805"
3-Nov-17,"7,087.53","7,461.29","7,002.94","7,207.76","3,369,860,096","120,097,405,359"
2-Nov-17,"6,777.77","7,367.33","6,758.72","7,078.50","4,653,770,240","117,933,380,780"
1-Nov-17,"6,440.97","6,767.31","6,377.88","6,767.31","2,870,320,128","112,735,345,036"
31-Oct-17,"6,132.02","6,470.43","6,103.33","6,468.40","2,311,379,968","107,743,731,291"
30-Oct-17,"6,114.85","6,214.99","6,040.85","6,130.53","1,772,150,016","102,105,356,519"
29-Oct-17,"5,754.44","6,255.71","5,724.58","6,153.85","2,859,040,000","102,482,445,590"
28-Oct-17,"5,787.82","5,876.72","5,689.19","5,753.09","1,403,920,000","95,797,359,518"
27-Oct-17,"5,899.74","5,988.39","5,728.82","5,780.90","1,710,130,048","96,254,297,360"
26-Oct-17,"5,747.95","5,976.80","5,721.22","5,904.83","1,905,040,000","98,310,176,011"
25-Oct-17,"5,524.60","5,754.33","5,397.88","5,750.80","1,966,989,952","95,732,630,220"
24-Oct-17,"5,935.52","5,935.52","5,504.18","5,526.64","2,735,699,968","91,988,225,800"
23-Oct-17,"6,006.00","6,075.59","5,732.47","5,930.32","2,401,840,128","98,695,054,084"
22-Oct-17,"6,036.66","6,076.26","5,792.34","6,008.42","2,034,630,016","99,981,911,326"
21-Oct-17,"5,996.79","6,194.88","5,965.07","6,031.60","2,207,099,904","100,353,682,389"
20-Oct-17,"5,708.11","6,060.11","5,627.23","6,011.45","2,354,429,952","100,007,083,345"
19-Oct-17,"5,583.74","5,744.35","5,531.06","5,708.52","1,780,540,032","94,954,808,115"
18-Oct-17,"5,603.82","5,603.82","5,151.44","5,590.69","2,399,269,888","92,982,539,106"
17-Oct-17,"5,741.58","5,800.35","5,472.72","5,605.51","1,821,570,048","93,218,297,189"
16-Oct-17,"5,687.57","5,776.23","5,544.21","5,725.59","2,008,070,016","95,203,392,843"
15-Oct-17,"5,835.96","5,852.48","5,478.61","5,678.19","1,976,039,936","94,403,031,755"
14-Oct-17,"5,643.53","5,837.70","5,591.64","5,831.79","1,669,030,016","96,942,498,331"
13-Oct-17,"5,464.16","5,840.30","5,436.85","5,647.21","3,615,480,064","93,864,253,934"
